epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.9082,2.29961,6.13242,1.70858,0,0,0,0,2.18443,6.37135,1.84218,1.074e-05,1.074e-05,1.074e-05
2,91.8579,2.20742,6.07179,1.59753,0,0,0,0,1.87004,6.21692,1.58827,2.28093e-05,2.28093e-05,2.28093e-05
3,138.957,1.93699,5.93877,1.41364,0,0,0,0,1.68965,5.98752,1.37686,3.43823e-05,3.43823e-05,3.43823e-05
4,186.01,1.79594,5.90688,1.33607,0,0,0,0,1.51582,5.80775,1.21224,4.54592e-05,4.54592e-05,4.54592e-05
5,231.978,1.68799,5.69687,1.24829,0,0,0,0,1.28599,5.61142,1.06376,5.60399e-05,5.60399e-05,5.60399e-05
6,279.245,1.56648,5.5349,1.15928,0,0,0,0,1.18323,5.50957,0.99622,6.61244e-05,6.61244e-05,6.61244e-05
7,323.214,1.40337,5.46734,1.07543,0,0,0,0,1.14717,5.41049,0.94865,7.57127e-05,7.57127e-05,7.57127e-05
8,366.984,1.30915,5.32254,1.00942,0,0,0,0,1.1225,5.36589,0.9327,8.48048e-05,8.48048e-05,8.48048e-05
9,410.447,1.21812,5.22002,0.98169,0,0,0,0,0.99017,5.28731,0.89351,9.34008e-05,9.34008e-05,9.34008e-05
10,454.629,1.1628,5.12709,0.94859,0,0,0,0,0.92934,5.22836,0.87149,0.000101501,0.000101501,0.000101501
11,498.745,1.16065,5.10043,0.95663,0,0,0,0,0.88564,5.18208,0.85914,0.000109104,0.000109104,0.000109104
12,543.043,0.98259,4.95923,0.90732,0.00613,0.01726,0.00418,0.00343,0.85098,5.10439,0.85027,0.000116211,0.000116211,0.000116211
13,586.944,1.03453,4.95511,0.90945,0.01529,0.03915,0.00998,0.00696,0.84306,5.07387,0.84966,0.000122823,0.000122823,0.000122823
14,630.835,1.0374,4.86768,0.91157,0.00705,0.08998,0.0082,0.00566,0.83168,5.01631,0.84895,0.000128938,0.000128938,0.000128938
15,675.118,1.02399,4.78934,0.9377,0.00918,0.18735,0.00969,0.00736,0.81459,4.94168,0.84861,0.000129381,0.000129381,0.000129381
16,719.212,1.00958,4.90309,0.91553,0.00785,0.28353,0.01001,0.00751,0.81306,4.87089,0.85037,0.000125837,0.000125837,0.000125837
17,763.479,0.95992,4.69517,0.90729,0.00992,0.31339,0.01212,0.00918,0.82587,4.84048,0.85527,0.000122293,0.000122293,0.000122293
18,807.559,1.06914,4.74108,0.92163,0.00785,0.35272,0.01159,0.00871,0.83508,4.78565,0.86284,0.000118749,0.000118749,0.000118749
19,851.852,1.00502,4.61569,0.90665,0.00854,0.41589,0.01208,0.00956,0.78246,4.7341,0.8581,0.000115204,0.000115204,0.000115204
20,896.513,0.96791,4.62564,0.9196,0.00834,0.46148,0.01219,0.00977,0.78307,4.68645,0.86229,0.00011166,0.00011166,0.00011166
21,940.862,0.97453,4.59819,0.90628,0.00886,0.49321,0.01288,0.0104,0.77657,4.66217,0.86311,0.000108116,0.000108116,0.000108116
22,985.329,0.95582,4.53578,0.91826,0.00942,0.522,0.01425,0.01163,0.76001,4.62577,0.86157,0.000104572,0.000104572,0.000104572
23,1030.02,0.95103,4.5202,0.9256,0.00896,0.54558,0.01428,0.01184,0.75228,4.59142,0.86018,0.000101028,0.000101028,0.000101028
24,1075.26,0.95907,4.52339,0.90338,0.00924,0.57953,0.01453,0.01216,0.7405,4.55689,0.8594,9.74834e-05,9.74834e-05,9.74834e-05
25,1119.56,0.98018,4.40649,0.90617,0.00886,0.58222,0.01463,0.01218,0.73541,4.54366,0.85899,9.39392e-05,9.39392e-05,9.39392e-05
26,1163.81,0.90757,4.42926,0.90445,0.0099,0.62332,0.01571,0.01302,0.7461,4.52698,0.86122,9.0395e-05,9.0395e-05,9.0395e-05
27,1208.72,0.89131,4.27553,0.88273,0.01,0.63292,0.01692,0.01391,0.74529,4.50386,0.86191,8.68508e-05,8.68508e-05,8.68508e-05
28,1253.65,0.90741,4.26039,0.89873,0.01016,0.6499,0.0181,0.01507,0.732,4.48758,0.86159,8.33066e-05,8.33066e-05,8.33066e-05
29,1297.94,0.95664,4.33964,0.91662,0.01021,0.65555,0.01856,0.01546,0.73334,4.48195,0.86194,7.97624e-05,7.97624e-05,7.97624e-05
30,1342.01,0.92985,4.28286,0.90515,0.01023,0.66543,0.01962,0.01623,0.73329,4.46656,0.86182,7.62182e-05,7.62182e-05,7.62182e-05
31,1386.39,0.91132,4.34288,0.89382,0.01006,0.66621,0.02009,0.01668,0.72787,4.44439,0.86162,7.2674e-05,7.2674e-05,7.2674e-05
32,1430.43,0.92551,4.31363,0.89334,0.01013,0.68032,0.02156,0.01812,0.72377,4.42901,0.86071,6.91298e-05,6.91298e-05,6.91298e-05
33,1475.01,0.89303,4.24763,0.91239,0.01015,0.68206,0.02187,0.01838,0.71914,4.42169,0.86004,6.55856e-05,6.55856e-05,6.55856e-05
34,1519.19,0.87145,4.23246,0.88009,0.00995,0.68927,0.02346,0.01986,0.70601,4.39842,0.85892,6.20414e-05,6.20414e-05,6.20414e-05
35,1563.55,0.89558,4.3516,0.9029,0.00997,0.68989,0.02396,0.02036,0.69899,4.38214,0.85783,5.84972e-05,5.84972e-05,5.84972e-05
36,1608.01,0.86421,4.11779,0.88781,0.01022,0.69663,0.02451,0.02075,0.69776,4.36983,0.85789,5.4953e-05,5.4953e-05,5.4953e-05
37,1653.31,0.86035,4.16227,0.91342,0.01024,0.6971,0.02477,0.02091,0.69699,4.3619,0.85826,5.14088e-05,5.14088e-05,5.14088e-05
38,1697.93,0.84379,4.09383,0.90433,0.01052,0.70652,0.02659,0.02286,0.7009,4.34794,0.85906,4.78646e-05,4.78646e-05,4.78646e-05
39,1742.99,0.93133,4.27285,0.91578,0.01042,0.70365,0.02641,0.0223,0.71298,4.33958,0.86091,4.43204e-05,4.43204e-05,4.43204e-05
40,1788.67,0.89523,4.12377,0.88777,0.01021,0.70529,0.02651,0.02238,0.70441,4.32903,0.8608,4.07762e-05,4.07762e-05,4.07762e-05
41,1833.78,0.79167,4.11177,0.86226,0.01053,0.71503,0.02605,0.02189,0.69986,4.31916,0.86122,3.7232e-05,3.7232e-05,3.7232e-05
42,1877.63,0.81427,4.02419,0.89943,0.01058,0.72811,0.02535,0.02122,0.69661,4.30298,0.86192,3.36878e-05,3.36878e-05,3.36878e-05
43,1922.03,0.79634,4.10103,0.9042,0.01058,0.73068,0.02578,0.02159,0.69542,4.29153,0.86197,3.01436e-05,3.01436e-05,3.01436e-05
44,1966.8,0.77751,3.99273,0.87432,0.05163,0.43102,0.02549,0.02125,0.7017,4.28153,0.8625,2.65994e-05,2.65994e-05,2.65994e-05
45,2011.06,0.76984,4.02114,0.88856,0.07259,0.2441,0.02583,0.02156,0.70476,4.27638,0.86286,2.30552e-05,2.30552e-05,2.30552e-05
46,2054.89,0.76565,3.94245,0.89142,0.01043,0.73691,0.0262,0.02171,0.71249,4.26897,0.86472,1.9511e-05,1.9511e-05,1.9511e-05
47,2099.22,0.70447,3.99266,0.87162,0.01026,0.73749,0.02614,0.02161,0.71114,4.26363,0.86542,1.59668e-05,1.59668e-05,1.59668e-05
48,2142.92,0.80508,3.99047,0.88743,0.01173,0.63729,0.02594,0.02145,0.70848,4.26122,0.8657,1.24226e-05,1.24226e-05,1.24226e-05
